Designator,ManufacturerPartNumber,DigiKey,LCSC,Quantity,Value,Size,Voltage,Tolerance,Comments,Substitute
"C1, C2, C3, C4, C5, C7, C8, C10, C11, C12, C16",CL21B104JBCNNNC,1276-1090-1-ND,C62912,11,100nf,0805,>=16v,5%,Ceramic Cap X7R,
"C6, C9",TAJC107K006RNJ,478-1703-1-ND,C63711,2,100uf,CASE-C,6.3V,10%,Tantalum Cap,Any Case C 100uf =>6.3v
"C13, C14, C15",GRM21BR61C106KE15K,490-6473-1-ND,C408141,3,10uf,0805,10v,10%,X5R,CL21A106KOQNNNE
C17,CL21C180JBANNNC,1276-1107-1-ND,C170109,1,10pf,0805,50v,5%,C0G,
"C18, C19, C20",CL21C470JBANNNC,1276-1156-1-ND,C14857,3,47PF,0805,50V,5%,C0G,
F1,BLM21PG221SN1D,490-1054-1-ND,C85840,1,100mOhm,0805,2A,220R @100Mhz,Ferrite Bead,
F2,1812L050/30,F4159CT-ND,C151168,1,1A,1812,30V,,Fuse,
J1,RCJ-044,CP-1421-ND,N/A,1,,,,,RCA Jack Yellow,
J2,ICD15S13E4GX00LF,609-5181-ND,C75754,1,,,,,VGA Dsub,(LCSC) DS1038-15FBNSiA74-0CC
J3,MD-40SM,CP-2240-ND,N/A,1,,,,,S-Video,
J4,SCART,Find it on Aliexpress?,N/A,1,,,,,SCART Female,
J7,10118194-0001LF,609-4618-1-ND,C132563,1,,,,,USB Connector,
J5,RCJ-043,CP-1420-ND,N/A,1,,,,,RCA Jack Yellow,
J6,RCJ-042,CP-1419-ND,N/A,1,,,,,RCA Jack Yellow,
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10",RC0805FR-0775RL,311-75.0CRCT-ND,C141697,10,75R,0805,,1%,Resistor,
"R11, R13",RC0805FR-071KL,311-1.00KCRCT-ND,C95781,2,1K,0805,,1%,Resistor,
R12,RC0805FR-071ML,311-1.00MCRCT-ND,C107700,1,1M,0805,,1%,Resistor,
R14,RC0805FR-074K7L,311-4.70KCRCT-ND,C60816,1,4K7,0805,,1%,Resistor,
"R15, R16",RC0805FR-0749R9L,311-49.9CRCT-ND,C132320,2,49R9,0805,,1%,Resistor,
U1,THS7373IPWR,296-25626-1-ND,N/A,1,,,,,Video Amp,
U2,AD725ARZ,AD725ARZ-ND,N/A,1,,,,,Video Encoder,
U3,"74HC6323AD,112",1727-3330-ND,N/A,1,,,,,Binary Counter (Clock),
X1,ABM8-28.63636MHZ-B2-T,535-9143-1-ND,N/A,1,,,,,Oscillator,